order_id,customer_id,order_date,status,order_amount
81,1006,2023/02/19,completed,77.39 EUR
82,1006,2023/02/26,completed,65.6 EUR
83,1006,2023/03/05,completed,439.9 EUR
84,1006,2023/03/12,completed,333.39 EUR
85,1006,2023/03/19,completed,282.05 EUR
86,1007,2023/01/01,completed,128.51 EUR
87,1007,2023/01/08,pending,449.64 EUR
88,1007,2023/01/15,completed,320.22 EUR
89,1007,2023/01/22,completed,181.11 EUR
90,1007,2023/01/29,completed,449.58 EUR
91,1007,2023/02/05,completed,392.14 EUR
92,1007,2023/02/12,completed,51.23 EUR
93,1007,2023/02/19,pending,450.29 EUR
94,1007,2023/02/26,completed,14.51 EUR
95,1007,2023/03/05,pending,335.12 EUR
96,1007,2023/03/12,pending,88.8 EUR
97,1007,2023/03/19,completed,349.03 EUR
98,1007,2023/03/26,completed,119.89 EUR
99,1007,2023/04/02,completed,126.25 EUR
100,1007,2023/04/09,completed,375.78 EUR
101,1007,2023/04/16,completed,426.12 EUR
102,1007,2023/04/23,completed,288.47 EUR
103,1007,2023/04/30,pending,190.18 EUR
104,1007,2023/05/07,completed,129.55 EUR
105,1008,2023/01/01,completed,202.62 EUR
106,1008,2023/01/08,completed,319.26 EUR
107,1008,2023/01/15,completed,256.29 EUR
108,1008,2023/01/22,completed,251.33 EUR
109,1008,2023/01/29,pending,364.0 EUR
110,1008,2023/02/05,completed,21.91 EUR
111,1008,2023/02/12,completed,96.78 EUR
112,1008,2023/02/19,completed,477.43 EUR
113,1008,2023/02/26,completed,191.38 EUR
114,1008,2023/03/05,pending,464.88 EUR
115,1008,2023/03/12,completed,483.66 EUR
116,1008,2023/03/19,completed,427.97 EUR
117,1008,2023/03/26,completed,198.7 EUR
118,1008,2023/04/02,completed,165.29 EUR
119,1008,2023/04/09,pending,282.83 EUR
120,1008,2023/04/16,completed,351.05 EUR
121,1009,2023/01/01,completed,57.62 EUR
122,1009,2023/01/08,completed,495.13 EUR
123,1009,2023/01/15,pending,263.98 EUR
124,1009,2023/01/22,completed,372.98 EUR
125,1009,2023/01/29,completed,354.22 EUR
126,1009,2023/02/05,completed,153.86 EUR
127,1009,2023/02/12,completed,406.96 EUR
128,1009,2023/02/19,completed,457.49 EUR
129,1009,2023/02/26,completed,255.74 EUR
130,1009,2023/03/05,completed,328.48 EUR
131,1009,2023/03/12,completed,399.94 EUR
132,1010,2023/01/01,completed,175.62 EUR
133,1010,2023/01/08,completed,56.05 EUR
134,1010,2023/01/15,completed,27.61 EUR
135,1010,2023/01/22,completed,275.9 EUR
136,1010,2023/01/29,completed,299.51 EUR
137,1010,2023/02/05,pending,28.3 EUR
138,1010,2023/02/12,completed,186.49 EUR
139,1010,2023/02/19,pending,265.9 EUR
140,1010,2023/02/26,completed,115.75 EUR
141,1010,2023/03/05,completed,51.82 EUR
142,1010,2023/03/12,pending,270.36 EUR
143,1010,2023/03/19,completed,322.34 EUR
144,1010,2023/03/26,completed,488.17 EUR
145,1010,2023/04/02,completed,168.25 EUR
146,1010,2023/04/09,completed,142.71 EUR
147,1011,2023/01/01,completed,48.44 EUR
148,1011,2023/01/08,pending,481.7 EUR
149,1011,2023/01/15,completed,351.03 EUR
150,1011,2023/01/22,completed,94.91 EUR
151,1011,2023/01/29,pending,132.62 EUR
152,1011,2023/02/05,completed,360.15 EUR
153,1011,2023/02/12,completed,147.17 EUR
154,1011,2023/02/19,completed,371.57 EUR
155,1011,2023/02/26,completed,309.74 EUR
156,1011,2023/03/05,completed,131.39 EUR
157,1011,2023/03/12,completed,381.34 EUR
158,1012,2023/01/01,pending,66.88 EUR
159,1012,2023/01/08,pending,29.96 EUR
160,1012,2023/01/15,completed,354.79 EUR
161,1012,2023/01/22,completed,57.94 EUR
162,1012,2023/01/29,completed,242.0 EUR
163,1012,2023/02/05,pending,222.59 EUR
164,1012,2023/02/12,completed,311.77 EUR
165,1012,2023/02/19,completed,32.2 EUR
166,1012,2023/02/26,completed,316.67 EUR
167,1012,2023/03/05,completed,429.68 EUR
168,1012,2023/03/12,completed,89.84 EUR
169,1013,2023/01/01,pending,324.79 EUR
170,1013,2023/01/08,pending,297.03 EUR
171,1013,2023/01/15,completed,291.98 EUR
172,1013,2023/01/22,completed,325.21 EUR
173,1013,2023/01/29,completed,277.35 EUR
174,1013,2023/02/05,completed,199.19 EUR
175,1013,2023/02/12,completed,453.62 EUR
176,1013,2023/02/19,pending,43.99 EUR
177,1013,2023/02/26,pending,18.93 EUR
178,1013,2023/03/05,pending,344.67 EUR
179,1013,2023/03/12,pending,166.3 EUR
180,1013,2023/03/19,completed,21.4 EUR
181,1013,2023/03/26,completed,148.11 EUR
182,1013,2023/04/02,pending,351.4 EUR
183,1014,2023/01/01,completed,439.96 EUR
184,1014,2023/01/08,completed,403.71 EUR
185,1014,2023/01/15,completed,96.95 EUR
186,1014,2023/01/22,Canceled,405.35 EUR
187,1014,2023/01/29,completed,212.18 EUR
